seed,n,p,objective,train_n,X,p_succ,angle_id,eval_index,trial,delta_gamma,delta_beta
1011783682,12,5,mean_p,12,0.41636602637349879,0.031328243278314759,mean_p|train_n=12|p=5,32,62,-1.6801600000000001,1.1049500000000001
1191433144,12,5,mean_p,12,0.58189666903329407,0.0079064181427616481,mean_p|train_n=12|p=5,33,63,-1.6801600000000001,1.1049500000000001
745893647,12,5,mean_p,12,0.39181822770056723,0.038424792186087436,mean_p|train_n=12|p=5,34,65,-1.6801600000000001,1.1049500000000001
459429138,12,5,mean_p,12,0.41764198885188919,0.030997509864542305,mean_p|train_n=12|p=5,35,66,-1.6801600000000001,1.1049500000000001
2773371315,12,5,mean_p,12,0.35900145821337154,0.05048443626722951,mean_p|train_n=12|p=5,36,67,-1.6801600000000001,1.1049500000000001
2383592401,12,5,mean_p,12,0.39736549374782609,0.03669212004237956,mean_p|train_n=12|p=5,37,68,-1.6801600000000001,1.1049500000000001
518995986,12,5,mean_p,12,0.57371768852550875,0.0084630167519179865,mean_p|train_n=12|p=5,38,70,-1.6801600000000001,1.1049500000000001
110869963,12,5,mean_p,12,0.50893067712309459,0.014506385207025133,mean_p|train_n=12|p=5,39,73,-1.6801600000000001,1.1049500000000001
3241305971,12,5,mean_p,12,0.34739612322116664,0.05560068708386498,mean_p|train_n=12|p=5,40,75,-1.6801600000000001,1.1049500000000001
835075558,12,5,mean_p,12,0.50078969524454642,0.015522703516497101,mean_p|train_n=12|p=5,41,78,-1.6801600000000001,1.1049500000000001
1129056341,12,5,mean_p,12,0.45900064213835906,0.021974776377604574,mean_p|train_n=12|p=5,42,79,-1.6801600000000001,1.1049500000000001
3094628288,12,5,mean_p,12,0.35323182159648175,0.052966285277516026,mean_p|train_n=12|p=5,43,80,-1.6801600000000001,1.1049500000000001
1483851466,12,5,mean_p,12,0.38962687155002285,0.039131589999101629,mean_p|train_n=12|p=5,44,81,-1.6801600000000001,1.1049500000000001
2504705298,12,5,mean_p,12,0.39540953687220465,0.037293953583411033,mean_p|train_n=12|p=5,45,82,-1.6801600000000001,1.1049500000000001
1236624494,12,5,mean_p,12,0.53870093405930375,0.011324481375736661,mean_p|train_n=12|p=5,46,84,-1.6801600000000001,1.1049500000000001
2602280346,12,5,mean_p,12,0.51861605803090838,0.013383574586828715,mean_p|train_n=12|p=5,47,86,-1.6801600000000001,1.1049500000000001
1853360839,12,5,mean_p,12,0.46453406998095526,0.020986292959687663,mean_p|train_n=12|p=5,48,89,-1.6801600000000001,1.1049500000000001
3906058522,12,5,mean_p,12,0.47549860367119073,0.019157017183082926,mean_p|train_n=12|p=5,49,90,-1.6801600000000001,1.1049500000000001
2596027815,12,5,mean_p,12,0.40087638424515082,0.0356361029957665,mean_p|train_n=12|p=5,50,91,-1.6801600000000001,1.1049500000000001
1194309501,12,5,mean_p,12,0.49821451604643235,0.015858782275285071,mean_p|train_n=12|p=5,51,92,-1.6801600000000001,1.1049500000000001
3456561530,12,5,mean_p,12,0.50535702149460104,0.014944057713746758,mean_p|train_n=12|p=5,52,93,-1.6801600000000001,1.1049500000000001
3127328354,12,5,mean_p,12,0.39500548563629273,0.037419502094367729,mean_p|train_n=12|p=5,53,94,-1.6801600000000001,1.1049500000000001
473068648,12,5,mean_p,12,0.44656132439388152,0.024370237265920504,mean_p|train_n=12|p=5,54,96,-1.6801600000000001,1.1049500000000001
2658263978,12,5,mean_p,12,0.51937118792092762,0.013299775882217132,mean_p|train_n=12|p=5,55,97,-1.6801600000000001,1.1049500000000001
3690326698,12,5,mean_p,12,0.42761250791803307,0.02853052104615381,mean_p|train_n=12|p=5,56,104,-1.6801600000000001,1.1049500000000001
3614482719,12,5,mean_p,12,0.60187640492521088,0.0066958510046854457,mean_p|train_n=12|p=5,57,108,-1.6801600000000001,1.1049500000000001
1914954199,12,5,mean_p,12,0.44655110988612184,0.0243723078952276,mean_p|train_n=12|p=5,58,109,-1.6801600000000001,1.1049500000000001
756378783,12,5,mean_p,12,0.40793930596633915,0.033602871402997857,mean_p|train_n=12|p=5,59,110,-1.6801600000000001,1.1049500000000001
1153582550,12,5,mean_p,12,0.5344739124743223,0.011729725405599944,mean_p|train_n=12|p=5,60,111,-1.6801600000000001,1.1049500000000001
952645053,12,5,mean_p,12,0.54981220055742386,0.010324770997023447,mean_p|train_n=12|p=5,61,114,-1.6801600000000001,1.1049500000000001
1159550776,12,5,mean_p,12,0.54851439253624679,0.010436829230656338,mean_p|train_n=12|p=5,62,116,-1.6801600000000001,1.1049500000000001
3103407018,12,5,mean_p,12,0.47983789763651824,0.018477907855300006,mean_p|train_n=12|p=5,63,119,-1.6801600000000001,1.1049500000000001
2418865089,12,5,mean_p,12,0.32108140131227231,0.069205148654950727,mean_p|train_n=12|p=5,64,120,-1.6801600000000001,1.1049500000000001
351327017,12,5,mean_p,12,0.56273147342796048,0.0092728100587913843,mean_p|train_n=12|p=5,65,121,-1.6801600000000001,1.1049500000000001
327723643,12,5,mean_p,12,0.42941839002650534,0.02810516937806239,mean_p|train_n=12|p=5,66,123,-1.6801600000000001,1.1049500000000001
285600187,12,5,mean_p,12,0.42696522496735723,0.028684542143124485,mean_p|train_n=12|p=5,67,124,-1.6801600000000001,1.1049500000000001
1850516328,12,5,mean_p,12,0.46442307310377595,0.021005677419114521,mean_p|train_n=12|p=5,68,125,-1.6801600000000001,1.1049500000000001
3172434666,12,5,mean_p,12,0.58321586220673349,0.0078201373037307762,mean_p|train_n=12|p=5,69,126,-1.6801600000000001,1.1049500000000001
2800487157,12,5,mean_p,12,0.5346773679461515,0.011709892036165003,mean_p|train_n=12|p=5,70,130,-1.6801600000000001,1.1049500000000001
1026275448,12,5,mean_p,12,0.32338860456924806,0.067889710577393958,mean_p|train_n=12|p=5,71,131,-1.6801600000000001,1.1049500000000001
1848878152,12,5,mean_p,12,0.43965683942701683,0.025810786734312682,mean_p|train_n=12|p=5,72,132,-1.6801600000000001,1.1049500000000001
3144591696,12,5,mean_p,12,0.48725564491956219,0.017372296133533548,mean_p|train_n=12|p=5,73,133,-1.6801600000000001,1.1049500000000001
3421347873,12,5,mean_p,12,0.42006017694646253,0.030380256834306903,mean_p|train_n=12|p=5,74,135,-1.6801600000000001,1.1049500000000001
2362435647,12,5,mean_p,12,0.3917257988052058,0.038454344599333563,mean_p|train_n=12|p=5,75,138,-1.6801600000000001,1.1049500000000001
1207252360,12,5,mean_p,12,0.4768046824458681,0.018950028267207368,mean_p|train_n=12|p=5,76,141,-1.6801600000000001,1.1049500000000001
2893742452,12,5,mean_p,12,0.43628594113736269,0.026544719493534603,mean_p|train_n=12|p=5,77,143,-1.6801600000000001,1.1049500000000001
535864074,12,5,mean_p,12,0.45248716105082365,0.023198158022043867,mean_p|train_n=12|p=5,78,144,-1.6801600000000001,1.1049500000000001
2520069139,12,5,mean_p,12,0.51289853860667833,0.014035434499250172,mean_p|train_n=12|p=5,79,145,-1.6801600000000001,1.1049500000000001
2716547109,12,5,mean_p,12,0.42593391895262656,0.028931661198796227,mean_p|train_n=12|p=5,80,146,-1.6801600000000001,1.1049500000000001
2999967642,12,5,mean_p,12,0.44913249194179738,0.023854580016532661,mean_p|train_n=12|p=5,81,147,-1.6801600000000001,1.1049500000000001
2279752443,12,5,mean_p,12,0.49033797593491063,0.016932564350161137,mean_p|train_n=12|p=5,82,148,-1.6801600000000001,1.1049500000000001
607702022,12,5,mean_p,12,0.44623946900855022,0.024435566670980562,mean_p|train_n=12|p=5,83,151,-1.6801600000000001,1.1049500000000001
579225230,12,5,mean_p,12,0.54043259160317159,0.011162538030146463,mean_p|train_n=12|p=5,84,152,-1.6801600000000001,1.1049500000000001
613980955,12,5,mean_p,12,0.54976630578791075,0.010328713147745907,mean_p|train_n=12|p=5,85,153,-1.6801600000000001,1.1049500000000001
2174401019,12,5,mean_p,12,0.4866165354378455,0.017464892522331785,mean_p|train_n=12|p=5,86,154,-1.6801600000000001,1.1049500000000001
3550750151,12,5,mean_p,12,0.56573641347249126,0.0090439143112533253,mean_p|train_n=12|p=5,87,155,-1.6801600000000001,1.1049500000000001
3678326529,12,5,mean_p,12,0.38138523481025072,0.041908223659418903,mean_p|train_n=12|p=5,88,156,-1.6801600000000001,1.1049500000000001
137743900,12,5,mean_p,12,0.34916551833887,0.054788380892183651,mean_p|train_n=12|p=5,89,157,-1.6801600000000001,1.1049500000000001
2018677586,12,5,mean_p,12,0.36293696268376047,0.048858603810742349,mean_p|train_n=12|p=5,90,158,-1.6801600000000001,1.1049500000000001
2645522932,12,5,mean_p,12,0.54746569683257751,0.010528265875845055,mean_p|train_n=12|p=5,91,159,-1.6801600000000001,1.1049500000000001
4256185716,12,5,mean_p,12,0.46906637321272188,0.020209865371777561,mean_p|train_n=12|p=5,92,161,-1.6801600000000001,1.1049500000000001
643418289,12,5,mean_p,12,0.43671426060295965,0.026450317912677934,mean_p|train_n=12|p=5,93,163,-1.6801600000000001,1.1049500000000001
1944515947,12,5,mean_p,12,0.54646967264099322,0.010615851671320066,mean_p|train_n=12|p=5,94,166,-1.6801600000000001,1.1049500000000001
3298162620,12,5,mean_p,12,0.49276224496654547,0.016594547035547292,mean_p|train_n=12|p=5,95,168,-1.6801600000000001,1.1049500000000001
1206047947,12,5,mean_p,12,0.59130909228338357,0.0073110325618240789,mean_p|train_n=12|p=5,96,169,-1.6801600000000001,1.1049500000000001
