objective,train_n,p,n,N,mean_p,mean_p2,R_n,relative_se_mean,N_eff,top1_weight,top5_weight
median_rt,12,5,20,500,0.0010806944906241881,1.92415761354095e-06,1.64753545215,0.0359870935795,303.483605981,0.011337878273,0.0458157605581
median_rt,12,10,12,500,0.074194461264382491,0.0092089681897276066,1.67289237392,0.0366849389783,298.883543134,0.0107258382647,0.0453943631289
median_rt,12,10,13,500,0.057283610107480037,0.0053911360597134446,1.64293178704,0.0358589399463,304.333998493,0.0125374372729,0.0435969054978
median_rt,12,10,14,500,0.042271050870985712,0.0029998016314728899,1.67882894238,0.0368464093875,297.826650101,0.0103040870237,0.0443707531614
median_rt,12,10,15,500,0.028331216996054766,0.0014071451919686557,1.75310710611,0.0388099756793,285.207902162,0.0119552276566,0.0479124189122
median_rt,12,10,16,500,0.020741147131872879,0.00083952876829217909,1.95150666219,0.0436235409426,256.212294679,0.0157530995553,0.0593183673842
median_rt,12,10,17,500,0.015127838560499257,0.00043284075837183482,1.89136081386,0.0422222882815,264.359923466,0.0122327762011,0.0523069363419
median_rt,12,10,18,500,0.011048167807339221,0.00023181069972153968,1.89912238964,0.0424057163513,263.27950359,0.0115590461589,0.0533919295556
median_rt,12,10,19,500,0.0075249232325294464,0.00011030705067321279,1.94804563017,0.0435441300332,256.667499085,0.0137667924975,0.0572980750447
median_rt,12,10,20,500,0.0056176181064306451,5.9325657662874143e-05,1.87991467251,0.0419503199632,265.969518358,0.0139555588413,0.0503780572082
median_rt,12,20,12,500,0.1639842128094873,0.0434232853957797,1.61479947745,0.0350656378083,309.635968417,0.00848521319388,0.0390245521048
median_rt,12,20,13,500,0.13628567515788809,0.03063608108199389,1.64942582593,0.0360395845129,303.135789521,0.0104346837278,0.040402097329
median_rt,12,20,14,500,0.1056751922555083,0.01905638211019248,1.70645311024,0.0375886448343,293.005413978,0.00898327244286,0.0420285249948
median_rt,12,20,15,500,0.077322350686102381,0.010822347814554982,1.81013676903,0.0402526215054,276.222221743,0.010765973301,0.0466180634535
median_rt,12,20,16,500,0.060092860178581613,0.0071081590028758568,1.96839105888,0.0440088868045,254.014565725,0.0131183405985,0.0573654295143
median_rt,12,20,17,500,0.045977448572021525,0.0041958855520580155,1.98487837053,0.0443819416099,251.904604042,0.0136583679244,0.0561756271745
median_rt,12,20,18,500,0.03677427137744807,0.0027067748812547956,2.00153866612,0.0447557519459,249.807814589,0.0115741800983,0.0535336927157
median_rt,12,20,19,500,0.026243191005817068,0.0013945307217799153,2.02485907842,0.0452738131466,246.930764382,0.0119416283007,0.0530136146782
median_rt,12,20,20,500,0.020891337758479921,0.00090777298893507342,2.07991101526,0.0464738854684,240.394899749,0.0141694349915,0.0561025696858
median_rt,12,50,12,500,0.33547178306691189,0.16809280723551351,1.493609737,0.0314200489178,334.759467359,0.00558454139006,0.0275748297449
median_rt,12,50,13,500,0.29420356548467658,0.1358472004568011,1.56947654406,0.0337483790444,318.577554977,0.00638774645851,0.0297174799966
median_rt,12,50,14,500,0.24218073784100741,0.095773781367034447,1.63292951408,0.0355789126894,306.198152271,0.00690185726735,0.0335918239845
median_rt,12,50,15,500,0.18872289352286842,0.064858910433607198,1.82104415168,0.040522688748,274.567752538,0.00886669736116,0.0386053632503
median_rt,12,50,16,500,0.15597267319988056,0.047191866359221103,1.93985881297,0.0433557104191,257.75071704,0.00984684828885,0.0461260011037
median_rt,12,50,17,500,0.1258320403711809,0.031356334714145076,1.98035392821,0.044279880944,252.480121295,0.0107660032277,0.049200536421
median_rt,12,50,18,500,0.10688503709012014,0.023588221478348718,2.06472098744,0.0461458771169,242.163470532,0.0109262709171,0.0491122255299
median_rt,12,50,19,500,0.080909282316768388,0.013963712334848838,2.13306551986,0.0476038973166,234.404426561,0.0116327104224,0.0522564975658
median_rt,12,50,20,500,0.067001861898876941,0.010069758466539817,2.24308282959,0.0498614646715,222.907506314,0.013371449428,0.0547324194277
median_rt,16,2,12,500,0.0055976888023805144,4.3136941093638797e-05,1.37667632575,0.0274472703836,363.193577638,0.00866177545778,0.0368760160391
