label,beta,gamma,n,inv_n,log_abs_S_over_n,delta_n,numerical_uncertainty,im_log_S_over_n,e_saddle
gamma_minus_one,0.5434,-1.0,23,0.043478260869565216,-0.4813660588937752,-0.007891366168179037,0.0,7.490716066133525e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,24,0.041666666666666664,-0.4811242765053643,-0.007649583779768154,0.0,7.383239713604572e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,25,0.04,-0.4808944049622497,-0.007419712236653553,0.0,7.283914676042147e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,26,0.038461538461538464,-0.4806759433265152,-0.007201250600919029,0.0,7.191910180454199e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,27,0.037037037037037035,-0.4804683403913242,-0.00699364766572802,0.0,7.106497845764518e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,28,0.03571428571428571,-0.4802710237512084,-0.006796331025612223,0.0,7.027037198888668e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,29,0.034482758620689655,-0.4800834193400695,-0.006608726614473315,0.0,6.952963475740386e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,30,0.03333333333333333,-0.47990496430718055,-0.006430271581584379,0.0,6.883777311866612e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,31,0.03225806451612903,-0.4797351152404645,-0.006260422514868358,0.0,6.819036001570054e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,32,0.03125,-0.4795733531490117,-0.006098660423415558,0.0,6.758346063611442e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,33,0.030303030303030304,-0.4794191862000216,-0.0059444934744254385,0.0,6.7013568990639e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,34,0.029411764705882353,-0.4792721509130256,-0.005797458187429438,0.0,6.647755365100064e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,35,0.02857142857142857,-0.4791318123082641,-0.005657119582667958,0.0,6.59726111936303e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,36,0.027777777777777776,-0.47899776336036637,-0.0055230706347702,0.0,6.549622614613557e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,37,0.02702702702702703,-0.4788696240050432,-0.005394931279447013,0.0,6.504613643737799e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,38,0.02631578947368421,-0.4787470398728868,-0.005272347147290635,0.0,6.462030351867804e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,39,0.02564102564102564,-0.4786296808718816,-0.005154988146285455,0.0,6.421688646040144e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,40,0.025,-0.47851723970276866,-0.005042546977172491,0.0,6.383421944072925e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,41,0.024390243902439025,-0.4784094303646679,-0.004934737639071707,0.0,6.347079213636468e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,42,0.023809523809523808,-0.4783059866893061,-0.004831293963709904,0.0,6.312523260193278e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,43,0.023255813953488372,-0.478206660928648,-0.004731968203051828,0.0,6.279629228881673e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,44,0.022727272727272728,-0.4781112224111409,-0.0046365296855447324,0.0,6.24828329074968e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,45,0.022222222222222223,-0.47801945627504366,-0.004544763549447495,0.0,6.218381488201918e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,46,0.021739130434782608,-0.4779311622826243,-0.004456469557028109,0.0,6.189828718255801e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,47,0.02127659574468085,-0.477846153715795,-0.0043714609901988055,0.0,6.162537835339971e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,48,0.020833333333333332,-0.4777642563516007,-0.004289563626004522,0.0,6.136428858009252e-20,-0.47347469272559617
