beta,gamma,n,inv_n,delta_n,delta_uncertainty,log_abs_Sn_over_n,e_saddle_re,log_S_complex_real,log_S_complex_imag
0.5434,-1.0,50,0.02,-0.004134462476531375,1.7763568394002505e-15,-0.4776091552021301,-0.4734746927255987,-23.880457760106506,-1.647651440956671e-16
0.5434,-1.0,51,0.0196078431372549,-0.004060964553031121,1.7763568394002505e-15,-0.47753565727862984,-0.4734746927255987,-24.35431852121012,-1.1138763250072892e-15
0.5434,-1.0,52,0.019230769230769232,-0.00398998800805922,1.7763568394002505e-15,-0.47746468073365794,-0.4734746927255987,-24.828163398150213,2.0215034192766942e-15
0.5434,-1.0,53,0.018867924528301886,-0.003921408274262184,1.7763568394002505e-15,-0.4773961009998609,-0.4734746927255987,-25.30199335299263,1.508205480154478e-16
0.5434,-1.0,54,0.018518518518518517,-0.00385510860032795,1.7763568394002505e-15,-0.4773298013259267,-0.4734746927255987,-25.77580927160004,-1.264774532721292e-14
0.5434,-1.0,55,0.01818181818181818,-0.0037909794747796877,1.7763568394002505e-15,-0.4772656722003784,-0.4734746927255987,-26.249611971020812,-1.2107754417710347e-15
0.5434,-1.0,56,0.017857142857142856,-0.0037289180965063284,1.7763568394002505e-15,-0.47720361082210505,-0.4734746927255987,-26.723402206037882,-9.817206152280612e-15
0.5434,-1.0,57,0.017543859649122806,-0.0036688278881939484,1.7763568394002505e-15,-0.47714352061379267,-0.4734746927255987,-27.197180674986182,-2.1376453419386493e-15
0.5434,-1.0,58,0.017241379310344827,-0.003610618049083081,1.7763568394002505e-15,-0.4770853107746818,-0.4734746927255987,-27.670948024931544,2.73041427596958e-15
0.5434,-1.0,59,0.01694915254237288,-0.003554203143740442,1.7763568394002505e-15,-0.47702889586933916,-0.4734746927255987,-28.14470485629101,2.823108278665932e-15
0.5434,-1.0,60,0.016666666666666666,-0.0034995027237883503,1.7763568394002505e-15,-0.4769741954493871,-0.4734746927255987,-28.618451726963226,-5.194592847708924e-15
0.5434,-1.0,61,0.01639344262295082,-0.003446440979779808,1.7763568394002505e-15,-0.47692113370537853,-0.4734746927255987,-29.09218915602809,-2.7379031137015563e-15
0.5434,-1.0,62,0.016129032258064516,-0.003394946420649192,1.7763568394002505e-15,-0.4768696391462479,-0.4734746927255987,-29.56591762706737,4.243180511029473e-15
0.5434,-1.0,63,0.015873015873015872,-0.0033449515783712247,1.7763568394002505e-15,-0.47681964430396995,-0.4734746927255987,-30.039637591150107,1.0367749298072954e-14
0.5434,-1.0,64,0.015625,-0.0032963927356849942,1.7763568394002505e-15,-0.4767710854612837,-0.4734746927255987,-30.513349469522158,1.5451853490732673e-16
0.5434,-1.0,65,0.015384615384615385,-0.0032492096749088817,1.7763568394002505e-15,-0.4767239024005076,-0.4734746927255987,-30.987053656032995,5.438642174720787e-15
0.5434,-1.0,66,0.015151515151515152,-0.0032033454460570487,1.7763568394002505e-15,-0.47667803817165577,-0.4734746927255987,-31.46075051932928,-4.441649791245607e-15
0.5434,-1.0,67,0.014925373134328358,-0.003158746152628178,1.7763568394002505e-15,-0.4766334388782269,-0.4734746927255987,-31.9344404048412,-2.742602173150033e-15
0.5434,-1.0,68,0.014705882352941176,-0.0031153607535702177,1.7763568394002505e-15,-0.47659005347916894,-0.4734746927255987,-32.40812363658349,-4.2308970797652215e-15
0.5434,-1.0,69,0.014492753623188406,-0.0030731408800777626,1.7763568394002505e-15,-0.4765478336056765,-0.4734746927255987,-32.88180051879168,1.9692412794946445e-16
0.5434,-1.0,70,0.014285714285714285,-0.003032040665972513,1.7763568394002505e-15,-0.47650673339157124,-0.4734746927255987,-33.35547133740999,2.998357929499423e-16
0.5434,-1.0,71,0.014084507042253521,-0.0029920165905611973,1.7763568394002505e-15,-0.4764667093161599,-0.4734746927255987,-33.829136361447354,3.0018614719864355e-16
0.5434,-1.0,72,0.013888888888888888,-0.0029530273329304024,1.7763568394002505e-15,-0.4764277200585291,-0.4734746927255987,-34.302795844214096,-1.106576466353368e-14
0.5434,-1.0,73,0.0136986301369863,-0.0029150336367562146,1.7763568394002505e-15,-0.47638972636235494,-0.4734746927255987,-34.77645002445191,-4.583542813139146e-15
0.5434,-1.0,74,0.013513513513513514,-0.0028779981847729674,1.7763568394002505e-15,-0.4763526909103717,-0.4734746927255987,-35.250099127367506,1.0062912044494603e-14
0.5434,-1.0,75,0.013333333333333334,-0.0028418854821261608,1.7763568394002505e-15,-0.4763165782077249,-0.4734746927255987,-35.72374336557937,-1.949407725818443e-15
0.5434,-1.0,76,0.013157894736842105,-0.002806661747903061,1.7763568394002505e-15,-0.4762813544735018,-0.4734746927255987,-36.197382939986134,5.12999193371808e-15
0.5434,-1.0,77,0.012987012987012988,-0.002772294814191667,1.7763568394002505e-15,-0.4762469875397904,-0.4734746927255987,-36.67101804056386,4.958720792637811e-15
0.5434,-1.0,78,0.01282051282051282,-0.002738754032084567,1.7763568394002505e-15,-0.4762134467576833,-0.4734746927255987,-37.1446488470993,-1.864200947416873e-14
0.5434,-1.0,79,0.012658227848101266,-0.002706010184078733,1.7763568394002505e-15,-0.47618070290967746,-0.4734746927255987,-37.61827552986452,6.403164640911597e-15
0.5434,-1.0,80,0.0125,-0.002674035402386199,1.7763568394002505e-15,-0.4761487281279849,-0.4734746927255987,-38.09189825023879,6.7718239861874295e-15
0.5434,-1.0,81,0.012345679012345678,-0.002642803092700763,1.7763568394002505e-15,-0.4761174958182995,-0.4734746927255987,-38.56551716128226,2.8520365473166777e-15
0.5434,-1.0,82,0.012195121951219513,-0.00261228786300427,1.7763568394002505e-15,-0.476086980588603,-0.4734746927255987,-39.039132408265445,2.798708330953307e-15
0.5434,-1.0,83,0.012048192771084338,-0.0025824654570455463,1.7763568394002505e-15,-0.47605715818264427,-0.4734746927255987,-39.51274412915947,-6.986008603372897e-15
0.5434,-1.0,84,0.011904761904761904,-0.0025533126921227778,1.7763568394002505e-15,-0.4760280054177215,-0.4734746927255987,-39.98635245508861,-2.5367110372079906e-14
0.5434,-1.0,85,0.011764705882352941,-0.0025248074008808463,1.7763568394002505e-15,-0.47599950012647957,-0.4734746927255987,-40.45995751075076,-9.908887152673319e-15
0.5434,-1.0,86,0.011627906976744186,-0.0024969283767997674,1.7763568394002505e-15,-0.4759716211023985,-0.4734746927255987,-40.93355941480627,-6.2840193328292765e-15
0.5434,-1.0,87,0.011494252873563218,-0.0024696553231317586,1.7763568394002505e-15,-0.4759443480487305,-0.4734746927255987,-41.40715828023955,-2.4215071565982046e-14
0.5434,-1.0,88,0.011363636363636364,-0.0024429688050227605,1.7763568394002505e-15,-0.4759176615306215,-0.4734746927255987,-41.88075421469469,-5.567924377500291e-15
0.5434,-1.0,89,0.011235955056179775,-0.002416850204593146,1.7763568394002505e-15,-0.47589154293019187,-0.4734746927255987,-42.35434732078708,-8.980659294962143e-15
0.5434,-1.0,90,0.011111111111111112,-0.0023912816787860502,1.7763568394002505e-15,-0.4758659744043848,-0.4734746927255987,-42.82793769639463,-2.0661375517342604e-14
0.5434,-1.0,91,0.01098901098901099,-0.002366246119759663,1.7763568394002505e-15,-0.4758409388453584,-0.4734746927255987,-43.30152543492761,1.3034897775748203e-15
0.5434,-1.0,92,0.010869565217391304,-0.0023417271176760512,1.7763568394002505e-15,-0.4758164198432748,-0.4734746927255987,-43.77511062558128,-1.493964704819959e-14
0.5434,-1.0,93,0.010752688172043012,-0.0023177089257018224,1.7763568394002505e-15,-0.47579240165130054,-0.4734746927255987,-44.24869335357095,-3.2128281092830297e-15
0.5434,-1.0,94,0.010638297872340425,-0.0022941764270763,1.7763568394002505e-15,-0.475768869152675,-0.4734746927255987,-44.72227370035145,-1.103012046571195e-14
0.5434,-1.0,95,0.010526315789473684,-0.0022711151041147626,1.7763568394002505e-15,-0.4757458078297135,-0.4734746927255987,-45.19585174382278,3.021057740317828e-14
