saddle_id,beta,gamma,certified,box_radius,residual,jacobian_cond,re_phi,im_phi,det_hessian_re_phi,nearest_action_gap,matches_lambda_abs,matches_lambda_local,is_bm24_seed_saddle,z_real,z_imag,krawczyk_contraction,proof
16,0.5433996420760803,0.7487887432117251,True,1e-06,1.8229307620542017e-14,35.17556315240383,-2.399899229061569,-4.807662456070239,-1.2507338314687043e-51,0.017530276508710863,False,False,False,"[5.339284901847092, -0.857747413245902, -5.779200332898233, -1.9289063990801587, -0.8577474132459029, -0.004196602454865023, -0.5421278352019183, 0.04540701950921566]","[2.2116042197189674, -2.277785385739267, -2.273895972701945e-15, 2.660217101262806, 2.277785385739266, -0.009322092371474822, 0.42054038464707155, 0.26471739502265473]",3.405825374724196e-05,{}
17,0.5433996420760803,0.7487887432117251,True,1e-06,4.562447842820365e-13,56.218095059299195,-3.4514101018119465,-0.578050141741002,-1.801527467134692e-49,0.04130515560370318,False,False,False,"[5.33928490184709, -0.857747413245904, -5.779200332898233, -0.8936962337657643, -0.8577474132459029, -0.30504643701999534, -2.5476678312169967, 0.013741499066910861]","[2.211604219718962, -2.2777853857392687, -3.1152154432620915e-16, -0.8577600607799506, 2.27778538573927, -0.17089223615243077, -0.980063140180978, -0.03075920225583576]",8.72317039432813e-05,{}
18,0.5433996420760803,0.7487887432117251,True,1e-06,4.627333384680169e-13,57.35506540158451,1.0597428606199808,5.732149298579682,3.0178026543048862e-55,0.006724391583569744,False,False,False,"[5.33928490184709, -0.8577474132459024, -5.779200332898237, 0.5150579460245498, -0.8577474132459019, -1.477939502954564, 1.0673739723629698, 1.939574195236055]","[2.2116042197189625, -2.2777853857392674, 5.5417250325644325e-15, -4.143509077944187, 2.2777853857392705, -1.708347315906967, -3.4341105375038743, 1.05080118403632]",4.341097569225279e-05,{}
19,0.5433996420760803,0.7487887432117251,True,1e-06,6.462172209257891e-13,11.428998772809896,-0.3831237060506867,0.9300063762985809,-3.712547886054475e-52,0.030485689224661883,False,False,False,"[5.339284901847095, -0.857747413245903, -5.779200332898228, -1.2903399066702088, -0.8577474132459016, -0.06615881418570645, -1.722830012235355, 0.6276001945645376]","[2.211604219718966, -2.277785385739266, -6.398421978880897e-16, 2.500841798939617, 2.2777853857392674, 0.9955766201135935, -0.6971058370134718, 0.16644971747595216]",2.9861722473838063e-05,{}
20,0.5433996420760803,0.7487887432117251,True,1e-06,8.639789531958417e-15,34.64144193429587,-0.6015337671824073,0.14681180167841257,1.2628077834404295e-52,0.02011655349853303,False,False,False,"[5.33928490184708, -0.8577474132459026, -5.779200332898219, 1.332267990219393, -0.8577474132458991, 0.09309946027287944, -1.479432830428494, -0.017219616503442142]","[2.211604219718953, -2.2777853857392647, 5.151716999412797e-15, 2.835024673975569, 2.2777853857392643, -0.7696049548188486, -0.42673239955266284, 0.9342376099687029]",6.0102472375187104e-05,{}
21,0.5433996420760803,0.7487887432117251,True,1e-06,2.1223239686216445e-14,14.962366441092053,-0.6568586084973944,0.5238700350640335,-2.652635743007501e-53,0.05532484131498716,False,False,False,"[5.339284901847084, -0.8577474132459024, -5.7792003328982275, -1.499582206158069, -0.8577474132459024, -0.299140451819856, -0.37675649891841945, -0.029870833805829302]","[2.211604219718962, -2.277785385739267, 4.796473656868224e-16, 0.11466905336874139, 2.277785385739267, -0.18851770785357055, 0.7648991233431071, 0.053601675195713655]",3.6649004936045775e-05,{}
22,0.5433996420760803,0.7487887432117251,True,1e-06,2.0605930753916687e-14,89.43832168569098,-0.15098288033074736,0.11259112552736336,-2.4180169166432396e-53,0.04805368720690642,False,False,False,"[5.33928490184709, -0.8577474132459035, -5.779200332898233, -1.30340762172401, -0.8577474132459039, 2.033870900668395, 1.6935845370810707, -2.0420484907339125]","[2.211604219718962, -2.2777853857392696, -1.311489536511054e-15, 2.46992752652074, 2.2777853857392687, -0.5831512809228574, -0.20063146973530485, -0.9556346717169512]",0.00012104364049236429,{}
23,0.5433996420760803,0.7487887432117251,True,1e-06,1.300573613688764e-12,92.01318667226835,-3.9566709360818377,4.088308351600922,3.9993906793242153e-53,0.15328703596399773,False,False,False,"[5.339284901847097, -0.8577474132459024, -5.779200332898233, 2.0471209203135334, -0.8577474132459052, 1.8768296516828311, -2.750451813995348, -0.4582525804038531]","[2.2116042197189705, -2.277785385739267, -2.4576335230361405e-15, 1.0218473579259568, 2.277785385739272, -1.8945469935817991, -0.7332906119656304, 0.9560510971285283]",0.00013439377277016075,{}
24,0.5433996420760803,0.7487887432117251,True,1e-06,6.466036496704425e-15,16.43364445192763,-0.3526380168260248,0.41110878840037784,-2.6167245256856134e-51,0.030485689224661883,False,False,False,"[5.339284901847088, -0.857747413245903, -5.779200332898224, -1.2265782504806686, -0.8577474132459029, 0.3157511799418781, -1.3192771347722185, -0.005336570135848102]","[2.211604219718965, -2.277785385739268, -2.9374779980670826e-16, 0.2732550688722514, 2.2777853857392665, -0.926648971667589, 1.0949163164682532, -0.056587751885377346]",4.4372255403781133e-05,{}
25,0.5433996420760803,0.7487887432117251,True,1e-06,1.9205010004531367e-13,138.56964407219502,-3.5080983978418567,0.7059155938726385,1.1779179164287957e-49,0.015383140426207031,False,False,False,"[5.33928490184709, -0.8577474132459046, -5.779200332898233, -2.5303500915940966, -0.8577474132459029, 1.0954004388092333, 0.02233275749692761, -0.7928869044598044]","[2.211604219718962, -2.2777853857392665, 1.0703878182219316e-15, 1.3554587444606283, 2.27778538573927, -0.10227151922795379, 0.011539186217587972, 0.5305658176120788]",0.0002064493931415929,{}
26,0.5433996420760803,0.7487887432117251,True,1e-06,3.199003181070006e-14,34.05521153722544,-0.5195553600765519,0.8860935372890235,-2.8546444841806288e-52,0.061861853607322326,False,False,False,"[5.339284901847085, -0.8577474132459019, -5.7792003328982275, -1.9342640333124428, -0.8577474132459052, -0.6841536906124931, 0.2864320443638739, 0.08948076132183298]","[2.211604219718968, -2.277785385739271, -5.402966771390683e-15, -0.7431808009486234, 2.2777853857392665, 1.4481798628197637, 0.6879459706991223, -0.1641660592236721]",6.31019766132574e-05,{}
