gamma,competitor_index,classification,re_phi_m,im_phi_m,im_mod_abs,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,signed_re_gap_vs_seed,z_distance_from_seed,physically_feasible,impossible_if_physical,strict_exact_match,loose_exact_match,near_real_phase,high_re_bad_match
-0.3,55,physical_feasible_but_not_explanatory,-1.005126207047025,-1.1895356906704475,1.1895356906704475,-1.694735582047025,-0.5576450530090665,1.1370905290379585,-1.1436501924312565,3.28663695770027,True,False,False,False,False,False
-0.3,56,physical_feasible_but_not_explanatory,-1.9396012109200527,0.536339615311967,0.536339615311967,-2.6292105859200525,-0.5576450530090665,2.071565532910986,-2.078125196304284,3.527755802839036,True,False,False,False,False,False
-0.3,57,physical_feasible_but_not_explanatory,-0.7012653704235698,0.36910015262283463,0.3691001526228348,-1.3908747454235697,-0.5576450530090665,0.8332296924145032,-0.8397893558078013,2.88428101050002,True,False,False,False,False,False
-0.3,58,physical_feasible_but_not_explanatory,0.5427990564699807,0.01904929929493604,0.01904929929493626,-0.14681031853001925,-0.5576450530090665,0.4108347344790473,0.4042750710857492,4.48760185012852,True,False,False,False,True,True
-0.3,59,physical_feasible_but_not_explanatory,-3.1063463765639936,0.7184545039656087,0.7184545039656087,-3.7959557515639935,-0.5576450530090665,3.238310698554927,-3.244870361948225,4.707950701433933,True,False,False,False,False,False
-0.3,60,physical_feasible_but_not_explanatory,-4.7947965029928685,-0.40132833791179723,0.4013283379117971,-5.484405877992868,-0.5576450530090665,4.926760824983802,-4.9333204883771,3.888722414297276,True,False,False,False,False,False
-0.3,61,physical_feasible_but_not_explanatory,-4.809298267712592,-2.0898737348961784,2.0898737348961784,-5.498907642712592,-0.5576450530090665,4.941262589703525,-4.947822253096823,3.1772900888467226,True,False,False,False,False,False
-0.3,62,physical_feasible_but_not_explanatory,-4.809298267712592,2.089873734896175,2.089873734896175,-5.498907642712592,-0.5576450530090665,4.941262589703525,-4.947822253096823,3.177290088846759,True,False,False,False,False,False
-0.3,63,physical_feasible_but_not_explanatory,-3.2193787081953475,-0.8026541807795151,0.8026541807795153,-3.9089880831953474,-0.5576450530090665,3.351343030186281,-3.357902693579579,3.2671718847172464,True,False,False,False,False,False
-0.3,64,physical_feasible_but_not_explanatory,-4.125693575822435,0.1814086347407533,0.18140863474075353,-4.815302950822435,-0.5576450530090665,4.257657897813369,-4.264217561206666,3.736176006597214,True,False,False,False,False,False
-0.3,65,physical_feasible_but_not_explanatory,-4.739389584784532,-2.1141121023964176,2.1141121023964176,-5.428998959784532,-0.5576450530090665,4.871353906775465,-4.877913570168763,3.8165305005538412,True,False,False,False,False,False
-0.3,66,physical_feasible_but_not_explanatory,-4.902756914379603,-5.611078471659758,0.6721068355198279,-5.592366289379603,-0.5576450530090665,5.034721236370537,-5.0412808997638345,6.720004256196637,True,False,False,False,False,False
-0.3,67,physical_feasible_but_not_explanatory,-3.6631417332648617,-1.33817485515504,1.33817485515504,-4.352751108264862,-0.5576450530090665,3.795106055255795,-3.801665718649093,4.149610102853952,True,False,False,False,False,False
-0.3,68,physical_feasible_but_not_explanatory,-5.300618576414317,2.3533017152198807,2.3533017152198807,-5.990227951414317,-0.5576450530090665,5.432582898405251,-5.4391425617985485,3.7347377791972853,True,False,False,False,False,False
-0.3,69,physical_feasible_but_not_explanatory,-4.189782838816263,-0.037935916352800136,0.037935916352799914,-4.879392213816263,-0.5576450530090665,4.321747160807196,-4.328306824200494,4.123136601648213,True,False,False,False,True,False
-0.3,70,physical_feasible_but_not_explanatory,-2.3346199587209107,-1.361750065689139,1.361750065689139,-3.0242293337209105,-0.5576450530090665,2.466584280711844,-2.473143944105142,3.533898654411639,True,False,False,False,False,False
-0.3,71,physical_feasible_but_not_explanatory,-4.873158431220718,-2.2996698988673407,2.2996698988673407,-5.562767806220718,-0.5576450530090665,5.005122753211651,-5.011682416604949,4.384215035527742,True,False,False,False,False,False
-0.3,72,physical_feasible_but_not_explanatory,-3.80008454970416,-1.359126812705501,1.359126812705501,-4.48969392470416,-0.5576450530090665,3.932048871695094,-3.9386085350883917,3.5273794865825177,True,False,False,False,False,False
-0.3,73,physical_feasible_but_not_explanatory,-5.641052799334309,-2.5637941025651214,2.5637941025651214,-6.330662174334309,-0.5576450530090665,5.773017121325243,-5.77957678471854,2.7378541821335958,True,False,False,False,False,False
-0.3,74,physical_feasible_but_not_explanatory,-0.6360202180540141,-1.303794646178206,1.303794646178206,-1.325629593054014,-0.5576450530090665,0.7679845400449475,-0.7745442034382456,4.584606945688396,True,False,False,False,False,False
-0.3,75,physical_feasible_but_not_explanatory,-1.0051262070470257,1.1895356906704486,1.1895356906704482,-1.6947355820470258,-0.5576450530090665,1.1370905290379594,-1.1436501924312572,3.2866369577002774,True,False,False,False,False,False
-0.3,76,physical_feasible_but_not_explanatory,-4.816711281862959,3.62347542495003,2.6597098822295564,-5.506320656862959,-0.5576450530090665,4.948675603853893,-4.955235267247191,4.491957924059716,True,False,False,False,False,False
-0.3,77,physical_feasible_but_not_explanatory,-5.66746702331175,-4.9700236933071125,1.3131616138724738,-6.35707639831175,-0.5576450530090665,5.799431345302684,-5.805991008695981,4.598433824650993,True,False,False,False,False,False
-0.3,78,physical_feasible_but_not_explanatory,-0.933314675960438,2.4041505271909696,2.4041505271909696,-1.622924050960438,-0.5576450530090665,1.0652789979513715,-1.0718386613446695,4.188287029057711,True,False,False,False,False,False
-0.3,79,physical_feasible_but_not_explanatory,-4.020897649128306,-0.07602420538263743,0.07602420538263743,-4.710507024128306,-0.5576450530090665,4.15286197111924,-4.159421634512538,2.62012326916423,True,False,False,False,False,False
-0.3,80,algebraic_only_positive_full,1.377058284263104,3.8862708459815463,2.3969144611980404,0.6874489092631041,-0.5576450530090665,1.2450939622721706,1.2385342988788726,4.351054437669518,False,True,False,False,False,True
-0.3,81,physical_feasible_but_not_explanatory,-4.682736063335615,2.2631391956728053,2.263139195672805,-5.372345438335615,-0.5576450530090665,4.814700385326549,-4.8212600487198465,4.4481963895155925,True,False,False,False,False,False
-0.3,82,physical_feasible_but_not_explanatory,-1.2503434265285525,-2.861280525531905,2.861280525531905,-1.9399528015285523,-0.5576450530090665,1.382307748519486,-1.388867411912784,3.8895070947626498,True,False,False,False,False,False
-0.3,83,physical_feasible_but_not_explanatory,-2.805663918592214,1.0983013578567293,1.0983013578567293,-3.4952732935922137,-0.5576450530090665,2.9376282405831473,-2.944187903976445,3.7140290581625366,True,False,False,False,False,False
