gamma,re_phi_m,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,seed_full_interp,seed_abs_gap_to_exact,delta_re_vs_seed,re43_minus_re46,im43_plus_im46,mean_im_mod_abs,physically_feasible
-2.3049999999999997,0.001076164920765968,-0.6885332100792341,-0.6916217818803704,0.0030885718011363084,-0.8664921107506566,0.1748703288702862,0.17795890067142262,-8.028326362821692e-05,6.139308289393418e-16,2.220446049250313e-16,True
-2.335,0.0008560964517028494,-0.6887532785482973,-0.6918204779488147,0.003067199400517473,-0.8814407343695607,0.18962025642074598,0.19268745582126354,6.675538004861925e-05,4.1112146224408346e-16,2.220446049250313e-16,True
-2.415,0.00043725121477559276,-0.6891721237852245,-0.6920728487134445,0.002900724928220022,-0.9222520792673506,0.2301792305539061,0.23307995548212626,3.9905531123721194e-05,-8.230535957328557e-16,1.3322676295501878e-15,True
-2.435,0.0003625438830128294,-0.6892468311169873,-0.6920912527022126,0.002844421585225354,-0.9326561019982977,0.24056484929608513,0.24340927088131062,-3.487346854096074e-05,2.355062132524209e-14,1.176836406102666e-14,True
-2.465,0.0002679902288834843,-0.6893413847711166,-0.6920953198830833,0.0027539351119666433,-0.9484028255241794,0.25630750564109617,0.2590614407530629,-2.833042939014152e-05,-1.282257822780048e-15,1.1102230246251565e-15,True
-2.505,0.00016942472629761368,-0.6894399502737024,-0.6920659748775245,0.002626024603822108,-0.9696485412432908,0.2775825663657663,0.28020859096958844,2.121535526428131e-05,-6.587359067233204e-16,4.440892098500626e-16,True
-2.525,0.00013000711816267205,-0.6894793678818374,-0.6920395952919101,0.0025602274100726685,-0.9803733586249923,0.28833376333308225,0.2908939907431551,1.8247159169766658e-05,-2.2675573678303316e-16,8.881784197001252e-16,True
-2.545,9.618044154017721e-05,-0.6895131945584599,-0.6920069546766838,0.0024937601182238867,-0.9911631379546402,0.29915618327795634,0.30164994339618034,1.5619900091266847e-05,-2.0458363633306946e-15,1.5543122344752192e-15,True
-2.605,2.2099202344378482e-05,-0.6895872757976557,-0.6918805437427612,0.002293267945105537,-1.023900354223089,0.3320198104803277,0.33431307842543334,9.454411916597072e-06,1.3777747003019618e-15,6.661338147750939e-16,True
-2.625,4.794493017171164e-06,-0.6896045805069829,-0.6918313872917354,0.002226806784752511,-1.0349282636408383,0.3430968763491029,0.34532368313385564,7.876405310150436e-06,1.8171938562064594e-15,1.3322676295501878e-15,True
