beta,Gamma,gamma,gamma_AS,region,lambda_abs_100,seed_re_phi,comp_re_phi,phi_pref_conv2,seed_full_exponent,comp_full_exponent,seed_error_full_minus_lambda,comp_error_full_minus_lambda,seed_residual_inf,comp_residual_inf,comp_certified
0.45,1.95,-1.95,1.7824218749999998,outside_abs_gamma_gt_gamma_AS,-0.6872269520670902,-0.0464432304799649,0.002449011516065469,-0.689609375,-0.7360526054799649,-0.6871603634839345,-0.0488256534128747,6.658858315566896e-05,5.0242958677880805e-15,1.0658141036401503e-14,True
0.45,2.0,-2.0,1.7824218749999998,outside_abs_gamma_gt_gamma_AS,-0.6891761954758263,-0.06723481042151702,0.0008786172044469298,-0.689609375,-0.756844185421517,-0.688730757795553,-0.06766798994569068,0.00044543768027327513,1.9178279303923403e-14,5.329070518200751e-15,True
0.45,2.05,-2.05,1.7824218749999998,outside_abs_gamma_gt_gamma_AS,-0.6904460478396021,-0.08896148181486652,-0.00020035226873582612,-0.689609375,-0.7785708568148665,-0.6898097272687358,-0.08812480897526442,0.0006363205708662667,1.8239739862776356e-15,1.7763568394002505e-15,True
0.45,2.1,-2.1,1.7824218749999998,outside_abs_gamma_gt_gamma_AS,-0.6912612928843253,-0.1115309648237357,-0.000920088909980632,-0.689609375,-0.8011403398237357,-0.6905294639099806,-0.10987904693941042,0.0007318289743446504,5.9580819677934555e-15,1.1546319456101628e-14,True
0.5,1.0,-1.0,1.816796875,inside_abs_gamma_lt_gamma_AS,-0.4817351311464556,0.2099639577839253,0.11667392524428777,-0.689609375,-0.4796454172160747,-0.5729354497557122,0.002089713930380932,-0.09120031860925659,3.820199830714189e-15,9.325873406851315e-15,True
0.5,1.3,-1.3,1.816796875,inside_abs_gamma_lt_gamma_AS,-0.5261510448854466,0.16525723900098999,0.09404219653823365,-0.689609375,-0.52435213599901,-0.5955671784617663,0.0017989088864366343,-0.0694161335763197,2.9790409838967277e-15,5.329070518200751e-15,True
0.5,1.5,-1.5,1.816796875,inside_abs_gamma_lt_gamma_AS,-0.5740946284517983,0.11685361502034763,0.07081379387415399,-0.689609375,-0.5727557599796523,-0.618795581125846,0.0013388684721459265,-0.04470095267404772,1.0555880013644903e-14,6.661338147750939e-15,True
0.5,1.6,-1.6,1.816796875,inside_abs_gamma_lt_gamma_AS,-0.6024287638478838,0.0879046019628249,0.05633950539177035,-0.689609375,-0.6017047730371751,-0.6332698696082296,0.0007239908107087301,-0.03084110576034582,1.971333774180344e-14,1.0658141036401503e-14,True
0.5,1.7,-1.7,1.816796875,inside_abs_gamma_lt_gamma_AS,-0.6324304074946518,0.05628920435709572,0.039806478871321715,-0.689609375,-0.6333201706429042,-0.6498028961286783,-0.0008897631482523982,-0.017372488634026406,8.379058453350832e-15,3.552713678800501e-15,True
0.5,1.75,-1.75,1.816796875,inside_abs_gamma_lt_gamma_AS,-0.6471367701335353,0.03967546844319303,0.030706690891290744,-0.689609375,-0.6499339065568069,-0.6589026841087092,-0.002797136423271618,-0.011765913975173903,1.0841599276764049e-14,3.872860029715843e-15,True
0.5,1.8,-1.8,1.816796875,inside_abs_gamma_lt_gamma_AS,-0.6603934270463193,0.022750068290387837,0.02096065177435036,-0.689609375,-0.6668593067096121,-0.6686487232256496,-0.006465879663292817,-0.008255296179330296,5.329070518200751e-15,3.9968028886505635e-15,True
0.5,1.825,-1.825,1.816796875,outside_abs_gamma_gt_gamma_AS,-0.6660197127724176,0.014332951909755032,0.017180608030285427,-0.689609375,-0.6752764230902449,-0.6724287669697145,-0.009256710317827377,-0.006409054197296982,7.906783589979251e-15,0.0,True
0.5,1.85,-1.85,1.816796875,outside_abs_gamma_gt_gamma_AS,-0.6707831066732507,0.0061867316422934415,0.014320909165941309,-0.689609375,-0.6834226433577065,-0.6752884658340587,-0.012639536684455832,-0.004505359160807965,4.7207330545682824e-15,7.061018436615996e-14,True
0.5,1.875,-1.875,1.816796875,outside_abs_gamma_gt_gamma_AS,-0.674660868762668,-0.002429935780607906,0.011991705601754554,-0.689609375,-0.6920393107806079,-0.6776176693982454,-0.01737844201793992,-0.002956800635577461,9.930136612989092e-15,5.329070518200751e-15,True
